id,subway_proximity
794567,200
795198,else
795641,500
795680,400
796232,700
796370,900
796490,300
796523,500
797696,200
797972,400
798008,400
798128,700
798429,300
799319,700
799484,600
799829,200
799900,500
799924,400
799945,200
800051,600
801281,300
801626,400
802498,100
802677,400
803237,600
803778,100
804194,200
804246,200
804388,400
804815,500
804911,300
805028,200
805218,400
805793,400
806038,100
806040,300
807535,400
807882,500
808313,700
808476,600
808618,700
808705,300
808774,600
808851,400
810346,500
810681,900
811198,400
811238,300
811299,200
811347,400
811450,600
812057,900
812467,500
812671,800
812938,300
813225,500
813554,500
813793,200
814327,1000
814616,700
814911,400
815045,700
815465,400
816637,200
816673,400
816888,900
817113,600
818084,300
818314,200
818325,700
818337,else
818451,600
818481,100
818518,200
819206,400
819228,300
819419,400
819893,300
819956,1000
820218,300
820710,900
820801,500
820946,400
820953,1000
821135,300
822016,400
823520,500
823618,600
823631,700
823880,300
824163,400
824421,500
825193,600
825486,300
825545,300
825550,400
826307,else
826388,400
826603,400
826685,700
826690,400
826764,200
827719,200
828130,300
828553,400
828685,300
828796,500
829083,600
829935,300
830840,600
830949,800
831911,300
832157,200
832596,400
832772,400
833519,300
834088,400
834190,300
834968,300
836578,400
836720,else
837256,700
837282,300
837430,800
837503,500
837958,200
838070,600
838586,500
838974,600
839058,500
839539,500
840103,500
840594,400
840667,100
840731,200
840794,700
841075,600
841211,200
841292,300
841484,200
842167,300
842176,200
842494,300
842973,900
843003,200
843036,300
843491,else
843499,300
843524,700
844319,600
845362,300
845417,100
845517,else
846190,400
846275,200
846457,1000
846470,100
846549,200
846799,200
846829,500
846854,400
846871,200
847591,400
848087,300
848170,500
848174,400
848220,300
848707,else
848718,700
848722,else
848853,300
849409,100
849567,100
849603,800
849703,400
850097,300
850148,700
850198,500
850338,300
850435,100
850517,500
850712,200
850943,900
851130,200
851772,1000
851784,300
852118,100
852632,600
852949,400
853900,700
854033,600
854253,700
854521,500
855206,400
855462,300
855549,300
855919,200
856304,500
856440,400
856918,600
857696,300
857810,100
858223,100
858695,400
859023,200
859596,200
860163,400
860401,200
860827,300
862890,400
864790,500
864981,200
865355,400
866890,500
867020,600
867721,700
867749,700
867769,800
868548,400
869522,200
870119,600
871076,600
872035,400
872210,400
873465,600
873701,400
874683,200
874706,900
875111,400
875567,500
876355,300
876565,800
877135,300
878142,200
880256,400
880424,300
882209,300
882258,300
882559,500
883209,1000
883306,900
883423,800
883517,400
886808,else
886833,else
887129,600
887292,200
887355,700
888583,400
888905,300
890794,800
890839,600
890855,300
891117,500
892463,400
892704,1000
893413,700
893853,200
894015,500
894063,800
894093,300
895368,300
895386,300
898669,100
898861,900
900383,300
900503,200
903906,600
903947,300
903972,500
904060,600
905425,400
905947,500
906038,100
906058,200
907966,700
908046,300
908923,600
909859,600
910976,100
911092,else
912376,300
915020,600
916311,else
917058,300
918049,200
918239,300
918426,600
919491,500
919830,100
919978,300
919990,400
920930,else
921441,500
921585,800
921624,400
921862,200
923566,600
923979,600
924600,else
924658,else
924719,600
925075,300
925137,400
925240,400
925730,300
926337,200
927408,300
927597,800
927987,500
929032,700
931352,300
931642,500
932277,600
933129,else
933861,400
936218,400
937678,100
938022,400
939657,500
939724,400
940115,700
940116,400
941179,400
941642,900
944040,600
944049,200
944183,200
944755,else
944840,600
945297,400
947810,400
947963,400
949713,else
951365,1000
951944,200
953275,800
953951,100
955153,100
955542,500
956412,600
957002,400
957642,200
958444,else
959349,600
959478,400
959871,600
959948,100
960210,500
962045,500
964379,else
966104,800
968848,500
969463,300
971158,300
971247,else
972426,500
973128,600
973535,else
973653,400
975229,300
975250,500
975965,600
975990,600
976167,300
976242,400
977870,700
978062,300
978386,400
978615,700
980098,500
980561,500
981410,200
981494,600
982038,400
983625,600
984721,else
985338,500
986727,500
987329,400
987616,900
989976,else
990130,700
990367,400
990529,600
992508,400
992598,else
992891,200
992977,500
993040,300
993514,300
993575,700
993576,500
995169,200
995187,700
995215,600
995367,500
995469,100
997404,900
998423,600
998887,300
999248,200
999977,500
999984,100
1000788,500
1001147,300
1001447,500
1002469,600
1003530,400
1003754,300
1005416,400
1005763,400
1009883,400
1009973,200
1010785,300
1011449,400
1013648,500
1016004,800
1016105,300
1016352,900
1016819,300
1018181,400
1018529,600
1019360,400
1021005,300
1021491,200
1021957,500
1022204,300
1023181,500
1023529,200
1024113,300
1024135,600
1025001,200
1025786,200
1025847,800
1026565,300
1026683,200
1027808,800
1028263,500
1029482,else
1029808,600
1030254,800
1030392,500
1030780,400
1032127,700
1032610,600
1032611,else
1034911,300
1036498,400
1036734,500
1037016,else
1039215,700
1039435,700
1039983,200
1039984,800
1040156,100
1041996,500
1042416,900
1042806,else
1043046,100
1044502,400
1044731,900
1045491,300
1045897,200
1046443,1000
1048190,300
1049224,400
1051575,300
1053523,300
1054006,400
1054201,900
1055029,400
1056119,400
1056185,600
1056256,300
1056445,300
1056804,200
1057022,500
1059531,else
1059891,100
1060019,600
1061337,800
1063020,200
1063554,400
1065138,300
1066769,300
1067251,else
1068505,100
1069266,700
1069287,300
1070458,300
1071743,400
1072212,500
1072481,100
1073635,600
1073780,600
1073832,1000
1074155,else
1074506,400
1076324,300
1077176,500
1077179,500
1077375,800
1079675,100
1080543,1000
1080766,200
1080816,800
1080839,500
1083888,700
1086640,else
1087215,600
1089240,200
1089542,else
1089619,300
1090732,500
1091582,600
1091840,400
1092760,400
1093977,600
1095106,300
1096326,else
1096511,200
1097816,600
1098863,400
1099244,300
1100421,400
1100753,200
1101035,300
1101224,else
1102858,700
1102942,700
1102963,200
1105845,100
1106284,600
1107092,600
1107976,else
1108309,else
1109092,200
1110195,300
1110484,300
1112070,700
1112407,400
1112484,400
1113125,200
1114409,300
1114493,300
1114788,else
1115381,200
1117516,else
1117706,800
1118031,100
1121448,700
1121497,300
1121502,600
1123737,300
1123934,600
1123960,300
1124012,600
1124329,200
1126432,800
1126492,200
1126944,900
1127040,400
1127140,600
1128681,200
1129105,600
1129483,600
1130138,500
1130680,500
1130855,700
1131422,500
1131804,400
1132201,200
1132409,100
1132907,400
1133296,100
1134365,else
1136399,300
1137093,600
1137270,300
1137587,else
1137999,1000
1138052,100
1138455,400
1139851,100
1140826,200
1141120,400
1142034,200
1144861,100
1145134,else
1145288,700
1145337,200
1146534,600
1146653,100
1147507,400
1147524,800
1148144,300
1148279,200
1148978,400
1150382,600
1150398,200
1150514,400
1150594,900
1150869,else
1151209,700
1151343,300
1151582,300
1155475,200
1155885,900
1156440,600
1156499,500
1157036,800
1157522,400
1159142,500
1164101,300
1164111,300
1165913,400
1166339,300
1166398,300
1166616,200
1166947,400
1167658,100
1170268,400
1171566,100
1171581,400
1171674,300
1171716,800
1171955,200
